provider_ccn,display_name,facility_name,city,county,state,zip_code,cbsa,rural_urban,type_of_control,total_beds,bed_size_band,snf_nf_mix,source_year,fiscal_year,report_days,report_period_status,latest_valid_rule,total_days,average_daily_census,occupancy_rate,medicare_day_share,medicaid_day_share,other_day_share,net_patient_revenue_per_day,operating_expense_per_day,revenue_expense_spread_per_day,patient_service_margin,total_margin,net_income_per_day,salary_cost_per_day,contract_labor_per_day,contract_labor_ratio,total_labor_cost_per_day,labor_cost_share_of_operating_expense,days_cash_on_hand,current_ratio,valid_core_benchmark,data_quality_flags,data_layer_version
465189,ADVANCED HEALTH CARE OF SALEM — SALEM (465189),ADVANCED HEALTH CARE OF SALEM,SALEM,UTAH,UT,84653,39340,U,5,16,<50,SNF-dominant,2023,2023,365,plausible,valid_core_plausible_report_period,5080,13.917808219178083,0.8698630136986302,0.7992125984251969,NA,0.20078740157480315,646.8110236220473,655.5009842519685,-8.689960629921188,-0.01343508430214864,-0.00949388276827561,-6.140748031496063,318.9746062992126,NA,NA,363.7496062992126,0.5549184746294609,116.31755629597487,8.412938294203327,TRUE,NA,v0.41
465190,ADVANCED HEALTH CARE OF ST. GEORGE — ST. GEORGE (465190),ADVANCED HEALTH CARE OF ST. GEORGE,ST. GEORGE,WASHINGTON,UT,84790,41100,U,4,50,50-99,SNF-dominant,2023,2023,365,plausible,valid_core_plausible_report_period,10533,28.85753424657534,0.5771506849315069,0.8407861008259755,NA,0.15921389917402448,629.4508686983766,699.0186081838033,-69.56773948542673,-0.11052131777859628,-0.10963142416462368,-69.00759517706257,312.49539542390585,3.5065983100731035,0.01109676008254896,370.13614354884646,0.5295082837787933,-106.91532716726044,-3.9576431585292347,TRUE,NA,v0.41
465191,ALPINE MEADOW REHABILITATION AND NUR — WEST VALLEY CITY (465191),ALPINE MEADOW REHABILITATION AND NUR,WEST VALLEY CITY,SALT LAKE,UT,84119,41620,U,9,42,<50,SNF-dominant,2023,2023,365,plausible,valid_core_plausible_report_period,14393,39.43287671232877,0.9388780169602088,0.025151115125408186,NA,0.9748488848745919,350.06544848190094,295.35816021677203,54.70728826512891,0.1562773147203568,0.16165372496373914,56.589383728201206,107.28152574167999,NA,NA,119.28583339123185,0.4038684196288481,55.6549249721836,17.243498122653317,TRUE,NA,v0.41
465164,ALPINE REHAB INC. — SALT LAKE CITY (465164),ALPINE REHAB INC.,SALT LAKE CITY,BOX ELDER,UT,84165,36260,R,4,16,<50,SNF-dominant,2011,2011,365,plausible,valid_core_plausible_report_period,4037,11.06027397260274,0.6912671232876713,0.7485756750061927,NA,0.2514243249938073,447.76368590537527,543.8134753529849,-96.04978944760967,-0.21451000264435816,-0.21441540322036354,-96.00743126083725,298.7993559573941,17.216497399058706,0.054479853514308375,349.4951696804558,0.6426747138871491,-34.8110618914764,0.07958460654199234,TRUE,NA,v0.41
465122,ASPEN CARE CENTER — OGDEN (465122),ASPEN CARE CENTER,OGDEN,WEBER,UT,84401,36260,R,4,70,50-99,Mixed SNF/NF,2012,2012,366,plausible,valid_core_plausible_report_period,15771,43.09016393442623,0.6172602739726027,0.06429522541373407,0.7222116543022002,0.2134931202840657,187.07906917760445,203.4496227252552,-16.370553547650758,-0.08750606692461829,-0.08604831034454709,-16.097837803563504,96.49369095174687,11.44340878828229,0.10601923542363283,119.85441633377718,0.5891110277242065,22.22004834501235,0.47582131883715434,TRUE,NA,v0.41
465170,ASPEN RIDGE OF UTAH VALLEY — OREM (465170),ASPEN RIDGE OF UTAH VALLEY,OREM,UTAH,UT,84097,39340,U,4,24,<50,SNF-dominant,2023,2023,365,plausible,valid_core_plausible_report_period,7637,20.923287671232877,0.8718036529680365,0.7365457640434726,NA,0.26345423595652745,611.1672122561215,659.3122954039544,-48.145083147832906,-0.07877563158224002,-0.07366966871230839,-45.024486054733536,329.9817991357863,5.032342542883331,0.015021283930485914,392.755401335603,0.5957046517613712,0.493802788705362,2.24556260174073,TRUE,NA,v0.41
465159,ASPEN RIDGE TRANSITIONAL REHAB — MURRAY (465159),ASPEN RIDGE TRANSITIONAL REHAB,MURRAY,SALT LAKE,UT,84121,41620,U,4,38,<50,SNF-dominant,2023,2023,365,plausible,valid_core_plausible_report_period,11915,32.64383561643836,0.8590483056957462,0.6902224087284935,NA,0.3097775912715065,629.2430549727235,662.8156945027276,-33.57263953000415,-0.05335400885983479,-0.05256974022168393,-33.079143936214855,350.0284515316828,NA,NA,420.50734368443136,0.6344257493780586,-69.91966203263864,1.3980046219471225,TRUE,NA,v0.41
465166,ASPEN RIDGE WEST TRANSITIONAL REHAB — MURRAY (465166),ASPEN RIDGE WEST TRANSITIONAL REHAB,MURRAY,SALT LAKE,UT,84123,41620,U,4,38,<50,SNF-dominant,2023,2023,365,plausible,valid_core_plausible_report_period,12641,34.632876712328766,0.9113914924297044,0.758009651135195,NA,0.241990348864805,638.7108614824776,631.2842338422594,7.426627640218271,0.011627526770064296,0.0123903509858379,7.913851752234792,289.36318329246103,1.606834902302033,0.0055223383916705995,344.36081006249503,0.5454924922907887,54.75797687838092,5.220327716803215,TRUE,NA,v0.41
465172,AVALON CARE CENTER - VA OGDEN LLC — OGDEN (465172),AVALON CARE CENTER - VA OGDEN LLC,OGDEN,WEBER,UT,84404,36260,U,10,120,100-149,SNF-dominant,2023,2024,366,plausible,valid_core_plausible_report_period,42563,116.29234972677595,0.9691029143897997,0.02544463501162982,0.07403143575405868,0.9005239292343115,408.89154899795597,372.2011841270587,36.69036487089727,0.08973128684320318,0.09191243837284487,37.582219298451705,209.0615558113855,14.63959307379649,0.06544263695896567,262.4225735967859,0.7050557192940108,46.11611842672128,23.353201896202116,TRUE,NA,v0.41
465150,AVALON CARE CENTER - VA SALT LAKE II — SALT LAKE CITY (465150),AVALON CARE CENTER - VA SALT LAKE II,SALT LAKE CITY,SALT LAKE,UT,84113,41620,U,10,81,50-99,SNF-dominant,2023,2024,366,plausible,valid_core_plausible_report_period,27310,74.61748633879782,0.9212035350468866,0.01222995239838887,0.02065177590626144,0.9671182716953497,467.6349322592457,417.2927132918345,50.34221896741121,0.1076528195278249,0.10794707742709914,50.479824240205055,214.18227755400952,45.31515928231417,0.17462661610371286,297.18864884657637,0.7121826942583991,50.437781013146065,3.3115702211295837,TRUE,NA,v0.41
