provider_ccn,peer_definition,peer_count,peer_ccns
465189,Same state + same rural/urban + same bed-size band,17,"465088,465155,465158,465159,465162,465165,465166,465167,465168,465169,465170,465171,465174,465176,465177,465183,465191"
465190,Same state + same rural/urban + same bed-size band,32,"465009,465020,465049,465062,465064,465065,465072,465074,465082,465083,465090,465091,465093,465096,465100,465101,465107,465124,465125,465128,465129,465130,465134,465142,465144,465150,465160,465179,465182,465185,465188,465192"
465191,Same state + same rural/urban + same bed-size band,17,"465088,465155,465158,465159,465162,465165,465166,465167,465168,465169,465170,465171,465174,465176,465177,465183,465189"
465164,Same state + same bed-size band fallback,20,"465088,465155,465158,465159,465162,465165,465166,465167,465168,465169,465170,465171,465173,465174,465175,465176,465177,465183,465189,465191"
465122,Same state + same rural/urban + same bed-size band,8,"465059,465084,465085,465098,465102,465147,465153,465157"
465170,Same state + same rural/urban + same bed-size band,17,"465088,465155,465158,465159,465162,465165,465166,465167,465168,465169,465171,465174,465176,465177,465183,465189,465191"
465159,Same state + same rural/urban + same bed-size band,17,"465088,465155,465158,465162,465165,465166,465167,465168,465169,465170,465171,465174,465176,465177,465183,465189,465191"
465166,Same state + same rural/urban + same bed-size band,17,"465088,465155,465158,465159,465162,465165,465167,465168,465169,465170,465171,465174,465176,465177,465183,465189,465191"
465172,Same state + same rural/urban + same bed-size band,27,"465003,465006,465055,465066,465069,465075,465078,465089,465097,465104,465108,465109,465110,465111,465112,465115,465116,465117,465137,465139,465146,465156,465163,465178,465180,465181,465184"
465150,Same state + same rural/urban + same bed-size band,32,"465009,465020,465049,465062,465064,465065,465072,465074,465082,465083,465090,465091,465093,465096,465100,465101,465107,465124,465125,465128,465129,465130,465134,465142,465144,465160,465179,465182,465185,465188,465190,465192"
465072,Same state + same rural/urban + same bed-size band,32,"465009,465020,465049,465062,465064,465065,465074,465082,465083,465090,465091,465093,465096,465100,465101,465107,465124,465125,465128,465129,465130,465134,465142,465144,465150,465160,465179,465182,465185,465188,465190,465192"
465184,Same state + same rural/urban + same bed-size band,27,"465003,465006,465055,465066,465069,465075,465078,465089,465097,465104,465108,465109,465110,465111,465112,465115,465116,465117,465137,465139,465146,465156,465163,465172,465178,465180,465181"
465057,Same state + same bed-size band fallback,30,"465003,465006,465055,465066,465069,465075,465078,465089,465092,465097,465104,465108,465109,465110,465111,465112,465115,465116,465117,465137,465139,465143,465146,465156,465163,465172,465178,465180,465181,465184"
465158,Same state + same rural/urban + same bed-size band,17,"465088,465155,465159,465162,465165,465166,465167,465168,465169,465170,465171,465174,465176,465177,465183,465189,465191"
465006,Same state + same rural/urban + same bed-size band,27,"465003,465055,465066,465069,465075,465078,465089,465097,465104,465108,465109,465110,465111,465112,465115,465116,465117,465137,465139,465146,465156,465163,465172,465178,465180,465181,465184"
465102,Same state + same rural/urban + same bed-size band,8,"465059,465084,465085,465098,465122,465147,465153,465157"
465137,Same state + same rural/urban + same bed-size band,27,"465003,465006,465055,465066,465069,465075,465078,465089,465097,465104,465108,465109,465110,465111,465112,465115,465116,465117,465139,465146,465156,465163,465172,465178,465180,465181,465184"
465111,Same state + same rural/urban + same bed-size band,27,"465003,465006,465055,465066,465069,465075,465078,465089,465097,465104,465108,465109,465110,465112,465115,465116,465117,465137,465139,465146,465156,465163,465172,465178,465180,465181,465184"
465117,Same state + same rural/urban + same bed-size band,27,"465003,465006,465055,465066,465069,465075,465078,465089,465097,465104,465108,465109,465110,465111,465112,465115,465116,465137,465139,465146,465156,465163,465172,465178,465180,465181,465184"
465049,Same state + same rural/urban + same bed-size band,32,"465009,465020,465062,465064,465065,465072,465074,465082,465083,465090,465091,465093,465096,465100,465101,465107,465124,465125,465128,465129,465130,465134,465142,465144,465150,465160,465179,465182,465185,465188,465190,465192"
465078,Same state + same rural/urban + same bed-size band,27,"465003,465006,465055,465066,465069,465075,465089,465097,465104,465108,465109,465110,465111,465112,465115,465116,465117,465137,465139,465146,465156,465163,465172,465178,465180,465181,465184"
465090,Same state + same rural/urban + same bed-size band,32,"465009,465020,465049,465062,465064,465065,465072,465074,465082,465083,465091,465093,465096,465100,465101,465107,465124,465125,465128,465129,465130,465134,465142,465144,465150,465160,465179,465182,465185,465188,465190,465192"
465152,Same state + same rural/urban + same bed-size band,8,"465067,465079,465086,465094,465095,465119,465149,465186"
465149,Same state + same rural/urban + same bed-size band,8,"465067,465079,465086,465094,465095,465119,465152,465186"
465100,Same state + same rural/urban + same bed-size band,32,"465009,465020,465049,465062,465064,465065,465072,465074,465082,465083,465090,465091,465093,465096,465101,465107,465124,465125,465128,465129,465130,465134,465142,465144,465150,465160,465179,465182,465185,465188,465190,465192"
